Dataset,Doc_id,Snippet,Topic_words,Human_topic,Relevant
ubuntu dialogue,1326.0,,"free,software,opensource,fair,developer,product,carpentry,duplicate,produce,replicate,item,sell,cost,linux,windows",,0
ubuntu dialogue,1326.0,,"cpu,free,driver,nvidia,glx,quan-time,switch,priya,script,x86,folder,conf,file,cd,query,boot,log",,0
ubuntu dialogue,8699.0,,"pastebin,sources,list,update,manager,cdrom,permission,sudo,coment,line",,0
ubuntu dialogue,8699.0,,"synaptic,package,manager,melodie,face,anyoneofus,sir,7zip,compression,algorithm,file,directory,point,tar",,0
ubuntu dialogue,8699.0,,"index,removable,device,locate,find,file,database,updatedb,ahrddisk,program,man,cron",,0
ubuntu dialogue,8699.0,,"semitones,spaceghostc2c,umount,sdc1,media,firewire,mount,mountpoint,mtab,pastebin",,0
ubuntu dialogue,8699.0,,"resolution,xrandr,pastebin,screen,default,module,glx,device,nvidia,nologo",,0
ubuntu dialogue,8699.0,,"panel,ccsm,click,unity,setting,desktop,plugin,launcher,dropbox,dodge",,0
ubuntu dialogue,8699.0,,"autologin,password,nasa,desktop,xorg,xfce,window,manager,gdm,video",,0
ubuntu dialogue,8699.0,,"chromium,download,embedded,video,extension,fvd,culprit,interactivepython",,0
ubuntu dialogue,1326.0,,"ip,command,ubuntu,windows,pc,laptop,network,connection,greeting",,0
ubuntu dialogue,1326.0,,"fail,error,image,kernel,linux,wtf,boot,unetbootin,partition,os",,0
ubuntu dialogue,8020.0,,"ebook, ubuntu, ebookpro, exe, microsoft, download",,0
ubuntu dialogue,6366.0,,"vnc, remote, video, x11, xvfb, display",,0
enron email,,,"san marcos,construction,project,pro forma,phllip,allen",,0
enron email,205.0,,"schwab,interest,rate,money,pocket,mortgage,refinance,loan",,0
enron email,205.0,,"office,Friday,wade,philip,mary,richards",,0
enron email,205.0,,"agreement,language,request,finance,construction,project,loan,cost,lower,estimate,rent,exhibit,architecture,consultant,fee,engineer,appraisor",,0
enron email,205.0,,"help,assistant,ina rangel,phillip,allen",,0
enron email,205.0,,"balance,lucy,rent,deposit,jeff smith,raise,property,tenant,manager,phillip",,0
enron email,4128.0,,"phillip,raincheck",,0
enron email,205.0,,"nytimes,offer,nextcard,visa,e-mail,offer,permission,registration,congratulations,cardholder",,0
enron email,4128.0,,"greg,thorse,phillip,spreadsheet,error,logic,project,irr,pay,increase,cash,flow,renovation,quality,construction,proforma,sutters,sage,crossing,waters,bluff springs,south park,sunrise canyon,seabreeze,harvard place",,0
enron email,205.0,,"a/c,cost,wal-martk,ralph's,appliance,fax,machine,steelman,office,lucy",,0
enron email,4128.0,,"larry,document,claudia,confirm,phllip",,0
enron email,205.0,,"andy,john,electronic,system,west,desk,ice,dynergy,assistant,password,id",,0
enron email,205.0,,"fire,program,houston,boost,morale,portland,spetember,trip,cycle,winner,bashing",,0
enron email,205.0,,"past,busy,baby,girl,december,evelyn,soccer,t-ball,cole,coordination,fitness,maintenance,hunter,memorial park,Saturday,mountain biking,trip,lunch,job",,0
enron email,205.0,,"inquiry,fill,yourself,sign,dawn,kenne",,0
enron email,205.0,,"thanksgiving,family,travels,meeting,story,role,introduction,commitment,project,kirk,mcdaniel,sme,simulation,expert,video,shoot,story,ann",,0
enron email,205.0,,"parallon,microturbine,power,generation,deal,national,account,gas,price,kwh,customer,opportunity,turbine,install,requirement,burnertip,commodity,transport,buck,buckner",,0
enron email,4128.0,,"payout,investment,builders,profit,repaid,split,equity,construction,schedule,budget",,0
enron email,205.0,,"notes,outlook,migration,survey,fill,computer,pda,email,calendar,address,book,messaging,distribution,database,vacation,leave",,0
enron email,205.0,,"overdue,access,request,mat,smith,pending,approval",,0
enron email,3418.0,,"extension, document, engineer, architect, accounts, deal",,0
enron email,3418.0,,"lady, treasure, night, dinner, behavior, offense, manners",,0
