"conversation","topic"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","Science/Tech"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","Video"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","video games, Demi Lovato, Greatest Showman, United States, Black Panther, moon, philosophy 101, web development, Industrial design, Poli sci"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Science/Tech"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Science fiction"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","artificial intelligence, internet, Black Panther, Infinity War, psychology, Artificial Intelligence, Greatest Showman, Neuroscience, bank, seminary"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Science/Tech"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Black Panther"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","artificial intelligence, Black Panther, Infinity War, Artificial Intelligence, Brazil, Captain America, China, India, Iron Man, Lord of the Rings"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Science/Tech"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","Science/Tech"
"UserB: hello!<br />UserA: Sup<br />UserB: hey whoa that&#x27;s cool well we could either end this chat or continue for more points up to you<br />UserA: Haha matched twice I&#x27;m good to go for both<br />UserB: WOOO nice this happens a lot at night<br />UserA: At night? That you have two chats going on with the same person haha?<br />UserB: LOL yeah like i keep getting the same person over and over again<br />UserA: Yeah. Have you been on here for long?<br />UserB: i just started like two days ago haha how about you?<br />UserA: Haha I started the first day this round but maybe skip a few<br />UserB: ahh wow how far are you in the leaderboards?<br />UserA: Oh, top 10<br />UserB: GEEEZ<br />UserA: You?<br />UserB: you&#x27;re bound to get something cool then struggling in the 20s ahha how&#x27;d you hear about it?<br />UserA: Um I think I got an email. I can&#x27;t really remember Haha so are you really striving to get up there? I might lose it, I don&#x27;t have as much time<br />UserB: ahhh yeah I got an email way late in the game so i&#x27;m trying to just catch up I really wanna win something substantial yknow<br />UserA: Haha what is substantial?<br />UserB: not the truffles LOL i just read the prizes list last night and idk if I really just wanna be receiving truffles<br />UserA: Haha yeah nice<br />UserB: whoever is holding that #1 spot is so good<br />UserA: No kidding. That&#x27;s crazy<br />UserB: maybe it&#x27;s just one of the developers trying to get as many people going as possible<br />UserA: Yeah maybe. Hopefully haha. It&#x27;s intimidating<br />UserB: it&#x27;s a lil crazy that&#x27;s for sure<br />UserA: So do you have any hidden talents or powers?<br />UserB: hmmm that&#x27;s a good questin question<br /><br />","dating"
